congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
112,Senate,35,2011-03-08,1,35,96,5,0.591,0.806,0.134,0.298,-18.019,S23,Bill Passed,"A bill to amend title 35, United States Code, to provide for patent reform.",On Passage of the Bill,
112,Senate,36,2011-03-09,1,36,44,57,-0.281,-0.96,-0.294,0.594,-16.509,HR1,Bill Defeated,"A bill making appropriations for the Department of Defense and the other departments and agencies of the Government for the fiscal year ending September 30, 2011, and for other purposes.",On Passage of the Bill,
112,Senate,37,2011-03-09,1,37,43,58,-0.098,-0.995,1.359,0.367,-25.433,HR1,Amendment Rejected,In the nature of a substitute.,On the Amendment,
112,Senate,38,2011-03-10,1,38,97,0,0.0,0.0,0.0,0.0,0.0,PN17,Nomination Confirmed,"Max Oliver Cogburn, Jr., of North Carolina, to be United States District Judge for the Western District of North Carolina",On the Nomination,
112,Senate,39,2011-03-14,1,39,97,0,0.0,0.0,0.0,0.0,0.0,PN12,Nomination Confirmed,"James Emanuel Boasberg, of the District of Columbia, to be United States District Judge for the District of Columbia",On the Nomination,
112,Senate,40,2011-03-14,1,40,84,12,0.508,-0.528,1.302,-1.192,-17.566,S493,Motion to Proceed Agreed to,"A bill to reauthorize and improve the SBIR and STTR programs, and for other purposes.",On the Motion to Proceed,
112,Senate,41,2011-03-16,1,41,98,1,0.0,0.0,0.0,0.0,0.0,S493,Amendment Agreed to,Of a perfecting nature.,On the Amendment,
112,Senate,42,2011-03-16,1,42,99,0,0.0,0.0,0.0,0.0,0.0,S493,Amendment Agreed to,To strike the Federal authorization of the National Veterans Business Development Corporation.,On the Amendment,
112,Senate,43,2011-03-16,1,43,99,0,0.0,0.0,0.0,0.0,0.0,S493,Amendment Agreed to,To require contractors to notify small business concerns that have been included in offers relating to contracts let by Federal agencies.,On the Amendment,
112,Senate,44,2011-03-17,1,44,87,13,0.722,-0.275,0.145,-0.017,-29.916,HJRES48,Joint Resolution Passed,"A joint resolution making further continuing appropriations for fiscal year 2011, and for other purposes.",On the Joint Resolution,
112,Senate,45,2011-03-17,1,45,98,0,0.0,0.0,0.0,0.0,0.0,PN26,Nomination Confirmed,"Amy Berman Jackson, of the District of Columbia, to be United States District Judge for the District of Columbia",On the Nomination,
112,Senate,46,2011-03-28,1,46,89,0,0.0,0.0,0.0,0.0,0.0,PN18,Nomination Confirmed,"Mae A. D'Agostino, of New York, to be United States District Judge for the Northern District of New York",On the Nomination,
112,Senate,47,2011-04-04,1,47,87,0,0.0,0.0,0.0,0.0,0.0,PN1,Nomination Confirmed,"Jimmie V. Reyna, of Maryland, to be United States Circuit Judge for the Federal Circuit",On the Nomination,
112,Senate,48,2011-04-05,1,48,41,58,-0.205,0.018,0.747,0.387,-12.205,HR4,Amendment Rejected,To protect small businesses from health insurance premium increases or losses of health insurance coverage.,On the Amendment,
112,Senate,49,2011-04-05,1,49,87,12,-0.426,0.571,-1.235,0.045,-23.933,HR4,Bill Passed,"A bill to repeal the expansion of information reporting requirements for payments of $600 or more to corporations, and for other purposes.",On Passage of the Bill,
112,Senate,50,2011-04-05,1,50,90,10,0.757,0.498,0.278,-0.384,-20.855,S493,Motion to Table Agreed to,"A bill to reauthorize and improve the SBIR and STTR programs, and for other purposes.",On the Motion to Table,
112,Senate,51,2011-04-06,1,51,7,93,-0.985,0.166,1.605,-2.625,-20.743,S493,Amendment Rejected,To prohibit the regulation of greenhouse gases from certain sources.,On the Amendment,
112,Senate,52,2011-04-06,1,52,7,93,-0.957,0.291,1.613,-2.689,-19.398,S493,Amendment Rejected,"To suspend, for 2 years, any Environmental Protection Agency enforcement of greenhouse gas regulations, to exempt American agriculture from greenhouse gas regulations, and to increase the number of companies eligible to participate in the successful Advanced Energy Manufacturing Tax Credit Program.",On the Amendment,
112,Senate,53,2011-04-06,1,53,12,88,-0.066,0.672,0.048,-0.427,-33.342,S493,Amendment Rejected,"To suspend, until the end of the 2-year period beginning on the date of enactment of this Act, any Environmental Protection Agency action under the Clean Air Act with respect to carbon dioxide or methane pursuant to certain proceedings, other than with respect to motor vehicle emissions.",On the Amendment,
112,Senate,54,2011-04-06,1,54,50,51,0.037,-0.354,-0.65,-0.935,-5.64,S493,Amendment Rejected,"To prohibit the Administrator of the Environmental Protection Agency from promulgating any regulation concerning, taking action relating to, or taking into consideration the emission of a greenhouse gas to address climate change.",On the Amendment,
112,Senate,55,2011-04-06,1,55,100,0,0.0,0.0,0.0,0.0,0.0,S493,Amendment Agreed to,To save at least $20 million annually by ending federal unemployment payments to jobless millionaires and billionaires.,On the Amendment,
112,Senate,56,2011-04-06,1,56,57,43,0.243,0.97,0.245,-0.103,-20.15,S493,Amendment Rejected,To provide for the Director of the Office of Management and Budget to submit recommended rescissions in accordance with the Congressional Budget and Impoundment Control Act of 1974 for Government programs and agencies with duplicative and overlapping missions.,On the Amendment,
112,Senate,57,2011-04-06,1,57,64,36,-0.209,0.212,-0.209,0.025,-31.959,S493,Amendment Agreed to,To save at least $5 billion by consolidating some duplicative and overlapping government programs.,On the Amendment,
112,Senate,58,2011-04-12,1,58,97,0,0.0,0.0,0.0,0.0,0.0,PN29,Nomination Confirmed,"John A. Kronstadt, of California, to be United States District Judge for the Central District of California",On the Nomination,
112,Senate,59,2011-04-14,1,59,47,54,-0.0,-0.204,-0.647,0.784,-0.258,HCONRES35,Concurrent Resolution Rejected,A concurrent resolution directing the Clerk of the House of Representatives to make a correction in the enrollment of H.R. 1473.,On the Concurrent Resolution,
112,Senate,60,2011-04-14,1,60,42,59,0.224,-0.245,-0.713,-0.531,-2.394,HCONRES36,Concurrent Resolution Rejected,A concurrent resolution directing the Clerk of the House of Representatives to make a correction in the enrollment of H.R. 1473.,On the Concurrent Resolution,
112,Senate,61,2011-04-14,1,61,81,19,0.657,0.748,0.183,-0.115,-32.951,HR1473,Bill Passed,"A bill making appropriations for the Department of Defense and the other departments and agencies of the Government for the fiscal year ending September 30, 2011, and for other purposes.",On Passage of the Bill,
112,Senate,62,2011-05-02,1,62,90,0,0.0,0.0,0.0,0.0,0.0,PN38,Nomination Confirmed,"Kevin Hunter Sharp, of Tennessee, to be United States District Judge for the Middle District of Tennessee",On the Nomination,
112,Senate,63,2011-05-03,1,63,97,0,0.0,0.0,0.0,0.0,0.0,SRES159,Resolution Agreed to,"A resolution honoring the members of the military and intelligence community who carried out the mission that killed Osama bin Laden, and for other purposes.",On the Resolution,
112,Senate,64,2011-05-04,1,64,52,44,-0.003,-0.212,0.645,-0.789,-0.261,S493,Cloture Motion Rejected,"A bill to reauthorize and improve the SBIR and STTR programs, and for other purposes.",On the Cloture Motion,
112,Senate,65,2011-05-04,1,65,63,33,0.312,-0.173,1.215,0.73,-15.777,PN32,Cloture Motion Agreed to,"John J. McConnell, Jr., of Rhode Island, to be United States District Judge for the District of Rhode Island",On the Cloture Motion,
