congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,Senate,93,2019-05-02,1,93,65,33,-0.322,0.362,-0.736,-0.733,-13.321,PN257,Nomination Confirmed,"Joshua Wolson, of Pennsylvania, to be United States District Judge for the Eastern District of Pennsylvania",On the Nomination,
116,Senate,94,2019-05-02,1,94,53,45,-0.243,0.97,0.329,0.808,-16.844,SJRES7,Veto Sustained,A joint resolution to direct the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress.,On Overriding the Veto,
116,Senate,95,2019-05-06,1,95,51,40,-0.109,0.025,-0.662,-0.62,-1.864,PN220,Cloture Motion Agreed to,"Joseph F. Bianco, of New York, to be United States Circuit Judge for the Second Circuit",On the Cloture Motion,
116,Senate,96,2019-05-07,1,96,82,17,0.565,0.825,0.208,0.067,-28.971,PN55,Cloture Motion Agreed to,"Kimberly A. Reed, of West Virginia, to be President of the Export-Import Bank of the United States for a term expiring January 20, 2021",On the Cloture Motion,
116,Senate,97,2019-05-07,1,97,74,24,0.734,0.679,0.175,-0.19,-38.914,PN47,Cloture Motion Agreed to,"Spencer Bachus III, of Alabama, to be a Member of the Board of Directors of the Export-Import Bank of the United States for a term expiring January 20, 2023",On the Cloture Motion,
116,Senate,98,2019-05-07,1,98,79,19,0.612,0.791,0.247,-0.076,-27.411,PN54,Cloture Motion Agreed to,"Judith DelZoppo Pryor, of Ohio, to be a Member of the Board of Directors of the Export-Import Bank of the United States for a term expiring January 20, 2021",On the Cloture Motion,
116,Senate,99,2019-05-08,1,99,54,42,-0.091,0.023,-0.665,-0.609,-1.183,PN220,Nomination Confirmed,"Joseph F. Bianco, of New York, to be United States Circuit Judge for the Second Circuit",On the Nomination,
116,Senate,100,2019-05-08,1,100,79,17,0.574,0.819,0.211,0.053,-28.874,PN55,Nomination Confirmed,"Kimberly A. Reed, of West Virginia, to be President of the Export-Import Bank of the United States for a term expiring January 20, 2021",On the Nomination,
116,Senate,101,2019-05-08,1,101,72,22,0.721,0.693,0.203,-0.214,-34.202,PN47,Nomination Confirmed,"Spencer Bachus III, of Alabama, to be a Member of the Board of Directors of the Export-Import Bank of the United States for a term expiring January 20, 2023",On the Nomination,
116,Senate,102,2019-05-08,1,102,77,19,0.623,0.782,0.255,-0.105,-27.344,PN54,Nomination Confirmed,"Judith DelZoppo Pryor, of Ohio, to be a Member of the Board of Directors of the Export-Import Bank of the United States for a term expiring January 20, 2021",On the Nomination,
116,Senate,103,2019-05-08,1,103,52,44,0.042,-0.092,-0.674,0.583,-0.151,PN173,Cloture Motion Agreed to,"Janet Dhillon, of Pennsylvania, to be a Member of the Equal Employment Opportunity Commission for a term expiring July 1, 2022",On the Cloture Motion,
116,Senate,104,2019-05-08,1,104,50,43,0.041,-0.099,-0.672,0.594,-0.151,PN173,Nomination Confirmed,"Janet Dhillon, of Pennsylvania, to be a Member of the Equal Employment Opportunity Commission for a term expiring July 1, 2022",On the Nomination,
116,Senate,105,2019-05-08,1,105,51,43,0.038,-0.104,-0.672,0.594,-0.158,PN245,Cloture Motion Agreed to,"Michael H. Park, of New York, to be United States Circuit Judge for the Second Circuit",On the Cloture Motion,
116,Senate,106,2019-05-09,1,106,52,41,0.039,-0.097,-0.673,0.585,-0.157,PN245,Nomination Confirmed,"Michael H. Park, of New York, to be United States Circuit Judge for the Second Circuit",On the Nomination,
116,Senate,107,2019-05-13,1,107,49,43,0.166,0.083,-0.596,0.962,-1.793,PN253,Cloture Motion Agreed to,"Michael J. Truncale, of Texas, to be United States District Judge for the Eastern District of Texas",On the Cloture Motion,
116,Senate,108,2019-05-14,1,108,49,46,0.172,0.137,-0.602,0.932,-1.79,PN253,Nomination Confirmed,"Michael J. Truncale, of Texas, to be United States District Judge for the Eastern District of Texas",On the Nomination,
